Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Investor,Founders
Mombay,"Food and Beverage, Food Delivery, Internet",Seed,7500,"Mumbai, Maharashtra, India",Mombay is a unique opportunity for housewives to start household food business and avail everyone with their homemade healthy dishes., , , 
AuthMetrik,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",Grant,"$10,000 ","Gurgaon, Haryana, India","SaaS, B2B, Security, Stop account sharing, Fraud Detection", , , 
Medicus,Healthtech,,"$12,700 ",Mumbai,AI-based platform that explains and interprets blood tests and medical reports,,Angel investors,"Bhavesh Shah, Manav Shah"
Monech,Fintech,Seed Round,"$12,700 ",Mumbai,Automated platform which will help users to take their financial decisions,,Angel investors,
Teach Us,Edtech,Seed Round,"$12,700 ",,Educational portal which enables the students to access information related to education at one common platform,,Angel investors,
artbandhu,"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",Pre-Seed,"$15,000 ","Bangalore, Karnataka, India",Ai platform for Art and Creative Community, , , 
Wimoxez,Internet,Seed,20000,"Hyderabad, Andhra Pradesh, India","Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.", , , 
Vizzbee,"Artificial Intelligence, Drones, Navigation, Packaging Services, Robotics",Pre-Seed,"$20,000 ","Bhopal, Madhya Pradesh, India",Autonomous Drone Solutions for last mile delivery as well as search and rescue, , , 
Fasal,AgriTech,,"$20,000 ",Bangalore,Captures real-time data on crop growth conditions using on-farm sensors and delivers advisories to farmers in Indian languages,2018,"Omnivore, Zeroth.AI","Ananda Prakash Verma, Shailendra Tiwari"
Krimanshi,Agritech,,"$20,000 ",Jodhpur,Sustainable system to feed animals by valorizing food residues and surplus into highly nutritious feeds,,Arunachal Pradesh Social Entrepreneurship Meet,Nikhil Bohra
Karfa,Ecommerce,Seed Round,"$25,000 ",Delhi,It sells products crafted by artisans,,Undisclosed,Kartikeya Goel
GoGaga,"Dating, Private Social Networking",Non-equity Assistance,40000,"Bangalore City, Karnataka, India",GoGaga is a new age dating app that has removed the mindless swiping on strangers and connects users through their network and find matches., , , 
GetWork,HR Tech,Pre-seed,"$40,000 ",Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,2019,India Accelerator,Rahul Veerwal
ProPhysio,Health,,"$40,900 ",Bangalore,The largest provider of physiotherapy and rehabilitation services,2016,Nestavera Ventures.,Pramod Ravindra
Flickstree,Tech,,"$40,900 ",Mumbai,World's largest video publisher,2014,"MOX, Venture Catalysts","Saurabh Singh, Rahul Jain, Nagender Sangra"
Purple Style Labs,Fashion,,"$43,000 ",Mumbai,Shopping experience and foster the growth of Indian brands and designers.,2015,"Jitendra Gupta, Astarc Ventures.",Abhishek Agarwal
Flathalt,—,Angel,50000,"Gurgaon, Haryana, India",FInd your Customized Home here., , , 
Pixr8,"Digital Media, Incubators, Social Entrepreneurship",Seed,50000,"Ghaziabad, Uttar Pradesh, India",Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work., , , 
Odwen,Warehouse,,"$54,000 ",Noida,India's first do-it-yourself warehouse management system.,2018,Prospect Partners.,Vijay Anand Bhagavatula
Jetbrain Robotics,"Health Care, Hospital, Medical, Robotics",Seed,70000,"Gurgaon, Haryana, India","Jetbrain Robotics is Hong Kong / Gurgaon based company, building advanced robotic transportation solutions for multi speciality hospitals.", , , 
PrestLoans,"Credit, Financial Services, FinTech, Personal Finance",Seed,100000,"New Delhi, Delhi, India","PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.", , , 
UnoTag,Artificial Intelligence,Pre-Seed,"$100,000 ","Bangalore, Karnataka, India",SaaS to verify counterfeit, , , 
CivilCops,"Government, Information Technology, Software",Pre-Seed,"$100,000 ","Gurgaon, Haryana, India",Gov-Tech, , , 
TrustCheckr,Information Technology,Angel,100000,"Bengaluru, Karnataka, India",A Bengaluru-based fraud analytics solution provider ., , , 
Paymatrix,"Credit Cards, Payments, Property Insurance, Property Management, Rental Property",Seed,"$100,000 ","Hyderabad, Andhra Pradesh, India",India's Leading Property Rent management platform, , , 
TECHBOOZE,Education,Seed,"$100,000 ","New Delhi, Delhi, India","Techbooze[1] ""AN OPEN FORUM"" is an educational enterprise, headquartered in India working across the country.", , , 
MyGameMate,E-Sports,,"$100,000 ",Bangalore,eSports platform where players can access various multiplayer mobile games to participate in online tournaments,,"Jindagi Live Angels,",Parshavv Jain& Raju Kushwaha
Lawyered,Legal tech,,"$100,000 ",Delhi,It helps to connect to legal advise online,2015,"Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal","Ashish Bhatia, Himanshu Gupta"
Krayonnz,EdTech,Pre-seed,"$100,000 ",Bangalore,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,2019,GSF Accelerator,"Saurabh Dixit, Gurudutt Upadhyay"
DebugsBunny,EdTech,,"$100,000 ",Pune,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,2020,India Angel Fund,Sumit Sanjay Singare
Prescribe,HealthTech,,"$100,000 ",Chennai,Provide online services to patients by leveraging WhatsApp.,2019,Titan Capital,Nived Narayanan
Dhurnia,EdTech,,"$100,000 ","Dhingsara, Haryana",Developer of an online learning platform intended for various competitive exam preparations.,2018,"Chandigarh Angels Network, Modulor Capital","Ajay Kumar, Murari Singh"
Anveshan,FoodTech,Pre-seed,"$100,000 ",Bangalore,Provide quality and healthy food products,2019,Titan Capital,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa"
Illumnus,EdTech Startup,Seed,"$100,000 ",Pune,"An innovative EdTech startup from IITB & BITS alumni, offering B2B SaaS-based collaborative LMS for Schools and Universities",2018,23 High Networth Individuals (HNIs).,"Akash Deep Singhal, Akshaya Singhal, Devashish Saxena, Gauri Dehnkar"
Illumnus,Edtech,Seed Round,"$100,000 ",,Offers Collaborative learning management system for educational institutions,,Angel investors. HNI,"Akash Deep Singhal, Akshaya Singhal"
Shadez,Interior & decor,Seed Round,"$100,000 ",Mumbai,Paint Company,2018,Inflection Point Ventures,"Adarsh Anand, Amit Tiwari"
FreeStand,B2B service,,"$100,000 ",New Delhi,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,2017,"SucSEED Indovation, IIM Calcutta Innovation Park","Konark Sharma, Sneh Soni"
Puresh Daily,Milk startup,Seed,"$100,000 ",Ranchi,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,2019,"Alfa Ventures, Agility Venture Partners","Manish Piyush, Ayush Kumar"
Dybo,IT,Seed,"$100,000 ",Bangalore,Product Visualisation Technology for Commerce,2019,Spanache,Dhawal Jain
UrbanMatrix Technologies,Drone,,"$100,000 ",Chennai,Helping Industries & Organizations to seamlessly adopt drones in their workflow to elevate efficiency & profitability,2019,SARA ELGI,"Rishabh Verma, Ashutosh Kumar, Divyanshu Pundir"
Supply6,Helathcare,Seed,"$100,000 ",Bangalore,Supply6 is a food supplement brand that claims to provide nutritional supplements in drinkable forms such as smoothies.,2018,"Rohit Goutamchand, India CXO Fund","Rahul Jacob, Vaibhav Bhandari"
HobSpace,EdTech,Pre-series A1,"$100,000 ",Mumbai,HobSpace is a platform for extra-curricular activities online and offline for kids between 3-14 years.,2019,"Siddharth Bhaskar Shah, Upsparks","Priya Goel Sheth, Harsh Jain"
IntelleWings,IT startup,Seed,"$100,000 ",Panchkula,"IntelleWings develops Sanctions & Anti-money laundering solutions with a clear, concise, and fresh perspective.",2019,,Pramod Sharma
Nestroots,Fashion,Seed,"$100,000 ",Gurugram,"Ottoman, Stool, Brass Kitchen Solutions, Masala Box, Roti Box, Bar Accessories and Many Gifting Options at Nestroots.",2016,We Founder Circle,Chhavi Singh
Knackit,IT startup,,"$100,000 ",Bangalore,Knackit is a talent sharing platform where users can showcase and monetize their artistry.,2019,Jyoti Bansal,"Pranjal Kumar, Akanksha Bhardwaj"
Sarathi,HealthCare,Seed,"$100,000 ",Jodhpur,"Offer a range of services like lab tests, consultation at home, nursing services, emergency services, and appointment management.",2020,,Aditi Poyam
Buyofuel,Oil & Energy,Seed,"$100,000 ",Coimbatore,Green Fuels Marketplace,2020,Inflection Point Ventures,"Kishan Karunakaran, Venkateswaran Selvan, Sumanth Kumar"
Valuationary,E-learning,Pre-seed,"$100,000 ",Surat,EdTech platform upskilling candidates to bag deserving finance job roles.,2020,"Ashish Jain, Ajay Surana","Pratik Bajaj, Kunal Shah, Mahip Gupta"
Mestastop Solutions,Biotechnology,,"$100,000 ",Bangalore,"Mestastop aims to provide a solution for such challenges with their unique proprietary platforms, METAssay, METSCAN, and METVivo.",2018,CIIE.CO,Dr Arnab Roy Chowdhury
Cusmat,Computer Software,Pre-series A,"$100,000 ",Hyderabad,CUSMAT is India’s largest immersive skilling and training platform.,2016,We Founder Circle,"Abhinav Ayan, Anirban Jyoti Chakravorty"
TrulyMadly Matchmakers,Dating app,Pre-series A,"$110,000 ",Gurugram,One of the best dating Apps in India connecting singles across the country.,2014,"AngelList, Inflection Point Ventures, The Chennai Angels",Snehil Khanor
Plum,Cosmetics,,"$115,000 ",Thane,"Shampoos, Conditioner & Hair Mask For Healthy, Happy Hair",2013,"Ronald Conway, Bay Partners",Shankar Prasad
ZiffyHomes,"Marketplace, Real Estate, Rental Property",Seed,120000,"New Delhi, Delhi, India",ZiffyHomes is a technology driven marketplace to find out home on rent., , , 
Groww,"Finance, Impact Investing, Internet",Seed,120000,"Kormangala, Karnataka, India",Groww offers a new way of investing money., , , 
Fasal,"Agriculture, AgTech, Artificial Intelligence, Internet of Things, Machine Learning",Seed,120000,"Bengaluru, Karnataka, India",Climate Smart Precision Agriculture Platform, , , 
OurEye.ai,Virtual auditing startup,,"$120,000 ",Bangalore,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.",2020,"100X VC, Amara Ventures","Miran Junaidi, Saurabh Ghanekar, Sourav Sanyal"
DigiConnectt Technologys,"Information Services, Information Technology",Seed,125000,"Bengaluru, Karnataka, India",A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness ., , , 
Samaaro,SaaS startup,,"$125,000 ",Bangalore,"Samaaro is a virtual event platform designed to help organizations host scalable, secure, and effective virtual events for a global audience",2020,"Chaitanya Kalipatnapu, Kedar Gavane","Mayank Banka, Purnank Prakash, Skandha Gopalan"
Tilt,Bike Rental,,"$125,000 ",Bangalore,A bike-share for Indian campuses,2016,Y Combinator,Deepak VS
Picxy,Internet,Seed,130000,"Guntur, Andhra Pradesh, India","A stock photo startup based in Amravati, Andhra Pradesh.", , , 
Skippi Ice Pops,Food Production,,"$130,000 ",Hyderabad,India's First Icepops Brand,2021,Shark Tank India,Ravi Kabra
Ripsey,Nutrition tech,,"$133,000 ",Mumbai,It plans meals in consultation from fitness experts and nutritionists and prepares them in-house,2018,Ah! Ventures,"Silky Singh, Alkheya Boora Rpsey"
DeepSync,AI startup,,"$136,000 ",Chandigarh,"A revolutionary way to record your content, without you really speaking",2018,"Grand Anicut Angel Fund (GAAF), AL Trust, Beeline Impex Private Limited, 9Unicorns, Accelerator Fund","Ishan Sharma, Rishikesh"
truMe,IoT,,"$140,000 ",,A global platform for Identity and Access Management,,Rajan Kaistha,"Babu Dayal, Pramod Uniyal, Lalit Mehta"
Jobsgaar,Job discovery platform,Seed,"$140,000 ",New Delhi,India's first District level/ Hyper Local Job discovery platform,2020,SucSEED Indovation Fund,Atul Pratap Singh
ThatMate,HealthCare,,"$140,000 ",Satara,ThatMate is a sexual and mental wellness app for teens.,2019,"Supriya Kumari, Premanshu Singh",Nishant Neeraj
JobSquare,HR tech,,"$140,500 ",Ahmedabad,Technology-based platform that is connecting suitable applicants to the right recruiters,2019,Titan Capital,Ishit Jethwa
WHR,"Health Care, Information Technology",Seed,"$143,145 ","Pune, Maharashtra, India","WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.", , , 
Mihuru,"Finance, Internet, Travel",Seed,150000,"Mumbai, Maharashtra, India",Mihuru is an online platform which gives micro loans for air travel ., , , 
IndigoLearn,"E-Learning, Education",Seed,150000,"Hyderabad, Andhra Pradesh, India",India's the premier education destination catering to the needs of aspiring students of the CA community., , , 
MadGuy Labs,E-Learning,Venture - Series Unknown,"$150,000 ","Hyderabad, Andhra Pradesh, India",MadGuy Labs is a Online Test-prep Platform., , , 
Fincash.com,Wealth Management,Seed,150000,"Mumbai, Maharashtra, India",A startup in the personal finance space in India ., , , 
Freshokartz,E-marketplace,Pre series A,"$150,000 ",Jaipur,Online fruits and vegetables delivery company,2016,ThinkLab,Rajendra Lora
Sapio Analytics,Tech company,,"$150,000 ",Mumbai,Sapio Analytics provides AI-powered policymaking solutions for government institutions.,2018,,"Ashwin Srivastava, Hardik Somani"
Edvizo,Edtech,Seed Round,"$150,000 ",Bangalore,"Online marketplace to search, compare and enrol in the best institutes for competitive exam preparation",,Inflection Point Ventures,Ravi Nishant
Tattva,Beauty & wellness,,"$150,000 ",Delhi,Sells its organic and beauty products via marketplace,2018,"Sukhbir Singh, Rakhee Singal","Megha Wadhwa, Karnesh Mahendru"
Mera Cashier,Fintech,,"$150,000 ",Noida,App meant for small and micro businessmen to manage their transactions digitally,2019,"Sukhbir Singh, India Accelerator, Boudhik Ventures, Shankar Nath, Shaurya Garg","Suneel Kumar, Gaurav Tomar, Sucharita Redd"
ZFW Hospitality,Food & Beverages,Pre-seed,"$150,000 ",New Delhi,Creating a sustainable and scalable cloud kitchen network.,2015,"Mumbai Angels Network, Expert DOJO",Madhav Kasturia
The Gourmet Jar,Food & Beverages,,"$150,000 ",Noida,"The Gourmet Jar offers a range of premium condiments in unique flavour combinations, that are handmade in small batches, from scratch, using all-natural ingredients and no preservatives or additives.",2012,DevX Venture Fund,Apeksha Jain
GoTo,Transportation,,"$150,000 ",Ghaziabad,Real Time Intercity City Transit Platform For 1.25 Bn People In India,2020,Jesse Lucas,"Akhilesh Sagar, Harsh Vardhan Sharma"
Sapio Analytics,Computer software,,"$150,000 ",Mumbai,Aim to provide the most intelligent AI-powered policy making solutions for government institutions across the world.,2019,Parthiv Group,"Ashwin Srivastava, Hardik Somani, Prashant Nikam"
MentorKart,Consulting,Seed,"$150,000 ",New Delhi,MentorKart™ helps to fulfil dreams and take that big step towards success.,2018,"Amit Singal, Manish Aggarwal","Ashish Khare, SK Mohanty"
TRDR,Financial Services,,"$150,000 ",Bangalore,TRDR is an all-new approach to investing.,2020,"Kunal Shah, Snehal Fulzele",Ricky Jacob
Knocksense,Online Media,,"$150,000 ",Lucknow,Knocksense is a local news and recommendations platform.,2016,"We Founder Circle, Appyhigh, Mumbai Angels","Varul Mayank, Vibhore Mayank"
EV Plugs,Information Technology & Services,,"$150,000 ",Gurugram,EV charging station aggregator platform,2021,,"Manish Narang, Kapil Narang, Ashwani Arora"
Tessol,Logistics,Series A,"$160,000 ",Mumbai,It provides end to end cold chain logistics solutions,,1Funds Domestic Scheme,Rajat Gupta
Keito,AI,Seed Round,"$160,000 ",Pune,Enterprise productivity startup,2016,Suma Soft Pvt Ltd,Amal PS
MEngage,"Health Care, Medical Device, Mobile Apps",Seed,175000,"Jaipur, Rajasthan, India",MEngage is a mass consumer engagement application for doctors on both android and IOS platforms., , , 
Pickright Technologies,Fintech,Seed Round,"$175,000 ",Bangalore,Marketplace for stock market investors and advisors,2019,"Sanjay Mehta, Vikram Pandya, Gaurav Gupta, Vivel Srivatsav, Madhavi Bollipalli, Srinivas Paanem, Satish Bogullu","Archana Elapavuluri, Namandeep Bhatia, Siddharth Panjwani"
Kidovators (by GyanLab),"Big Data, EdTech, Machine Learning",Seed,180000,"Bangalore, Karnataka, India",Building future human capital through 21st Century Skills programs for K-12, , , 
Shiksha,Edtech,,"$181,000 ",,It makes college selection easy for students looking to pursue UG and PG courses in India and abroad,2008,Mumbai Angels Network,Kanav Sachdeva
Witblox,Edtech,,"$182,700 ",,Offers a range of robotics learning tools,2014,Mumbai Angels Network,Amit Modi
MergerDomo,Marketplace,,"$197,000 ",Noida,Global online corporate deal sourcing and consulting marketplace,2018,"Nadir Godrej, Individual Investors","Hormazd Charna, Manoj Mishra"
ParkSmart,IoT,,"$198,000 ",Delhi,Parking spot reservation platform,2019,Ah! Ventures,"Prateek Garg, Vishva Sharma, Rahul Gupta, Rishabh Nagpal, Ratan Sethi"
Shape (School Health and Physical Education),Education,Seed,200000,"Pune, Maharashtra, India",Physical education start up, , , 
Trendlyne Technologies,Financial Services,Seed,200000,"Bangalore, Karnataka, India",Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors., , , 
HealWell24,"Dental, Elder Care, Health Care, Home Health Care, Personal Health",Seed,200000,"Mumbai, Maharashtra, India","HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.", , , 
Aldopay,Mobile Payments,Seed,"$200,000 ","Chennai, Tamil Nadu, India",Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP., , , 
Aqgromalin,AgriTech,,"$200,000 ",Chennai,Cultivating Ideas for Profit,2019,Angel investors,"Prasanna Manogaran, Bharani C L"
AlgoBulls,Trading platform,,"$200,000 ",Mumbai,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,2019,Venture Catalysts,"Pushpak Dagade, Jimmit Patel and Suraj Bathija"
Janani,Fertility tech,Pre-seed,"$200,000 ",Bangalore,Janani aims to make the process of infertility treatment and assisted fertilisation easier,2020,9Unicorns,Nilay Mehrotra
EzeRx,Medtech,Seed,"$200,000 ",Kolkata,Developer and manufacturer of medical devices,2018,"Indian Oil Corporation, Krishna Chakravarty","Amit mandahar, Chaitali roy"
HobSpace,Edtech,Seed,"$200,000 ",Mumbai,India's Activity Hub for Kids,2019,Artha Venture,"Priya Goel Sheth, Harsh Jain"
ShipsKart,E-commerce,Pre-series A,"$200,000 ",New Delhi,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.",2018,Betatron,"Dhruv Sawhney, Vivek Sahi, Sunny Bagla"
AFK Gaming,Entertainment,Pre-series A,"$200,000 ",Mumbai,AFK Gaming is a media and entertainment and gaming company located in Mumbai.,2012,,Nishant Patel
Wellcure,Healthtech,,"$200,000 ",Gurugram,It caters to all health and wellness needs,,Inflection Point Ventures,"Sumeet Kapur, Ankur Bhatia, Aanchal Kapur"
Ewar,Gaming,,"$200,000 ",Bangalore,E-sports and real-time gaming startup,,"Jindal Steels, Jeet Banerjee","Parth Chadha, Rahul Singh"
Design X,IoT,Seed Round,"$200,000 ",Noida,Builds IoT based products,,ThinkNext LLC,Preet Arjun Singh
Comofi Medtech,HealthTech,,"$200,000 ",Bangalore,Comofi Medtech is a healthcare robotics startup.,2018,"CIIE.CO, KIIT-TBI",Gururaj KB
EF Polymer,AgriTech,,"$200,000 ",Rajsamand,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,2018,MTG Ventures,Narayan Lal Gurjar
GetWork,Recruitment,Seed,"$200,000 ",Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,2019,Artha Venture Fund,Rahul Veerwal
IsGoingOnline,Retail,,"$200,000 ",Cochin,Kochi-based digital catalogue and marketplace IsGoingOnline,2015,"Unicorn India Ventures, SEA Fund, Devdatt Shah",Eobin Alex
IsGoingOnline,Retail,Pre-series A,"$200,000 ",Cochin,Kochi-based digital catalogue and marketplace IsGoingOnline,2015,"Unicorn India Ventures, SEA Fund, Devdatt Shah",Eobin Alex
Rocket Skills,EdTech,Pre-seed,"$200,000 ",Gurugram,Rocket Skills is the #1 Platform for learning skills which will bring a high positive impact on your business and life skills.,2020,"Better Capital, First Cheque, Titan Capital","Vibhu Bahuguna, Mohit Jain"
PingoLearn,E-learning,,"$200,000 ",Pune,PingoLearn offers language learning courses with snackable videos.,2021,"Titan Capital, Haresh Chawla, AngelList Syndicate","Mohit Menghani, Shubham Maheshwari"
PingoLearn,E-learning,,"$200,000 ",Pune,PingoLearn offers language learning courses with snackable videos.,2021,"Titan Capital, Haresh Chawla, AngelList Syndicate","Mohit Menghani, Shubham Maheshwari"
ShopMyLooks,Digital platform,,"$200,000 ",Noida,ShopMyLooks turns social media photos & videos into shop-the-look thus helping creators monetize their entire content.,2021,"Capital A, Collective Artists Network",Rohit Jaiswal
Deciwood,Consumer Electronics,,"$200,000 ",New Delhi,"Deciwood makes Eco-friendly wooden speakers using latest technology of Energy tube to enhance sound quality, all products are handmade by skilled people of the industry.",2018,"Shuru Up, Ankit Kedia, Arun Gupta",Ananya Meena
Comofi Medtech,HeathTech,,"$200,000 ",Bangalore,"Comofi Medtech develops healthcare products using artificial intelligence, augmented reality and IoT technologies",2017,CIIE.CO,"Satish Kalme, Kubasad Gururaj"
Supersourcing,Software company,Seed,"$200,000 ",Indore,Build your next app or website with our exclusive network of certified IT companies.,2020,"Vijay Shekhar Sharma, Dr Ritesh Malik","Mayank Pratap Singh, Aditi Chaurasia"
OwO,E-commerce,,"$200,000 ",Gurugram,"Shop packaged drinking water, beverages from your favorite brands i.e. Kinley, Bisleri, Aquafina, Coca-cola, Pepsi etc",2020,ah! Ventures,Hardev Sahu
Hemp Horizons,Cannabis startup,Seed,"$200,000 ",Noida,Cannabis and Hemp company,2017,Mumbai Angels,Rohit Shah
Knocksense,Media,,"$200,000 ",Lucknow,Knocksense which owns and operates an eponymous digital content platform.,2016,"Mumbai Angels, Amitesh Pandey","Varul Mayank, Vibhore Mayank, Vibhore Mayank"
Vanity Wagon,Cosmetics,Seed,"$200,000 ",Haryana,"Vanity Wagon is India’s #1 Natural Organic Beauty Marketplace. Buy Ayurvedic Natural Beauty Products in India for skin, hair & body care.",2018,"Dhianu Das, Agility Venture Partners",Prateek Ruhail
Inspacco,Facilities Services,,"$200,000 ",Pune,"For residential commercial and industrial establishments , Inspacco is a one stop solution , that delivers affordable improvement and maintenance services",2019,,"Sanket Nerkar, Paresh Kotkar"
Braingroom,EdTech,,"$200,000 ",Chennai,"BrainGroom is an online marketplace for educational, recreational & wellness classes with defined target segment, quantifiable outcomes & specified time duration.",2015,"IAN, Social Alpha, Startup Oasis","Madhula Sathyamoorthy, Naliene Ramasamy, Kalaiarsi Periasamy"
Green Soul,Consumer Goods,,"$200,000 ",Ambernath,Green Soul is No.1 brand on Amazon India in Ergonomic chairs category in terms of customer reviews.,2016,velocity.in,Ravi Khushwani
AMPM,E-commerce,,"$200,000 ",Gurugram,24*7 convenience store,2018,Agility Venture Partners,Shubham Gupta
BankSathi,FinTech,Seed,"$200,000 ",New Delhi,"Bank Sathi provides loans, insurance, cards comparison, and approval facility.",2019,"Dinesh Godara, Aditya Talwar",Jitendra Dhaka
Glamplus,SaaS startup,Pre-series A,"$200,000 ",Bangalore,India's #1 SaaS based Salon experience Software,2020,Inflection Point Ventures,Divyanshu Singh
Mentoria,EdTech,Pre-series A,"$200,000 ",Mumbai,Mentoria is a holistic career discovery platform that enables students to discover themselves and the careers they will enjoy and excel at.,2015,"Pradeep K Jaisingh, Jayant Mehrotra","Ashish Arora, Nikhar Arora, Sameer Bhakhri"
Klassroom,EdTech,Pre-series A,"$200,000 ",Mumbai,Klassroom offers a one-of-a-kind LIVE interactive learning experience to students.,2016,ah! Ventures,Alka Javeri
Disruptium,Consulting,,"$200,000 ",Ahmadabad,A consultancy platform for startups,2021,Pravesh Mehta,"Yash Shah, Kapil Mathrani, Ishit Desai"
Pickright Technologies,FinTech,,"$200,000 ",Bangalore,Pickright is a fintech marketplace platform for stock market investors and the stock market advisors.,2019,"Gaurav Gupta, Vivek Srivatsav","Namandeep Bhatia, Archana E"
Enthu.ai,AI startup,,"$200,000 ",Chandigarh,Enthu.AI operates as a conversation intelligence startup.,2020,Appit Simple Infotek,"Tushar Jain, Vishal Verma"
Boingg,Furniture,Seed,"$200,000 ",Gurugram,D2C furniture brand,2019,Inflection Point Ventures,"Neha Indoria, Dhruvan Barar"
Nap Chief,Apparel & Fashion,Seed,"$200,000 ",Mumbai,India's favourite Kid's wear and Family Sleepwear D2C Brand,2019,Titan Capital,Raghav Gupta
Wobb,Marketing,Pre-seed,"$200,000 ",Gurugram,The platform for marketers to find and work with influencers,2020,"Alok Kohli, Sanjeev Bhargava",Ishan Jindal
byteXL,E-learning,,"$200,000 ",Hyderabad,"ByteXL is the first-ever, one-stop-shop for self-learning course work and guided training – preparing a new generation of coders for the workforce.",2019,Joseph Joy,"Sricharan Tadepalli, Karun Tadepalli"
Bluepad,Online Media,Pre-seed,"$200,000 ",Bangalore,A one-stop solution for aggregated content  in vernacular languages,2020,"Titan Capital, AngelList's syndicate","Sanjyot Bhosale, Devakrishna Asokar, Kishore Garimella"
Enercomp,Information Technology & Services,,"$200,000 ",Ahmedabad,Enercomp Solutions Pvt Ltd provide drone based economically viable solutions for different sectors to improve efficiency and accuracy.,2013,ah! Ventures,SURESH SHAHDADPURI
Shadez,Consumer Services,Pre-series A,"$200,000 ",Mumbai,"Smart painting process, latest automatic tools and professional painters make the process faster than any other conventional process of painting .",2019,Inflection Point Ventures,"Adarsh Anand, Amit Tiwari"
Fieldproxy,SaaS startup,Seed,"$200,000 ",Chennai,Fieldproxy is a no-code platform that helps field servicing companies digitize their processes to better manage their on-ground technicians,2016,"LetsVenture, 2am VC, magic.fund","Swaroop Vijayakumar, Balakrishna B"
Prolgae,Biotechnology,Seed,"$200,000 ",The Nilgiris,Prolgae Spirulina Supplies Pvt. Ltd. is a Nordic-India joint operating company.,2016,Vijayan,Aakas Sadasivam
InfyU Labs,AgriTech,Seed,"$200,000 ",Gandhinagar,InfyU Labs is a team of dedicated professionals from various fields of engineering with a common goal of making chemical-free fruits and vegetables accessible to everyone.,2019,IAN,"Amit Srivastava, Ankit Chauhan"
Phable,Healthtech,,"$220,000 ",,"It creates an engagement loop between doctors, hospitals, and patients via its app",2018,"LetsVenture, 91 Springboard, IKP Knowledge, Angel investors, AbInbev-Serge DeVos, Wouter Peeters.",Sumit Sinha
DocSumo,AI,Seed round,"$220,000 ",Mumbai,Platform helps to automate and analyse financial data,2019,"Better Capital, TechStars, Barclays.","Rushabh Sheth, Bikram Dahl"
Tea Trunk,Beverage,,"$220,000 ",Goa,Global premium tea brand,2013,Angel investors,"Snigdha Manchanda, Vikas Kumar, Aishwarya Malhi"
Yodacart,E-commerce,Pre-seed,"$225,000 ",Thane,YODACART is an e-commerce startup offering real-time product discovery using AI/ML for appliances based on consumers’ needs with an AR-enabled browsing experience.,2019,Ajith Daneil,Vikas Sharma
Crimson Healthcare,Med Tech,,"$229,800 ",Delhi,It innovates cutting edge solutions for various problems in the healthcare system,2015,Mumbai Angels Network,"Pranav Chopra, Neeraj Kumar"
Chai Waale,Beverage,,"$232,000 ",Chennai,Tea Brand,2018,"Tharun Dhariwal, Sunil Kumar Singhvi, Arun Ostwal, Vishal Ostwal, Gunavanth Vaid, Bharat Kumar",Vidur Maheshwari
Kohbee,E-learning,Pre-seed,"$235,000 ",Bangalore,"Kohbee is a mobile app for online trainers and educators to run their online business, end to end.",2019,"Ankit Mehrotra, Saurabh Aggarwal","Rohan Sinha, Shashwat Aditya"
Chai Waale,Beverage,,"$238,000 ",Chennai,Given the rising trend in the number of tea stalls in the city,2018,"Gunavanth Vaid, Bharat Kumar Sohanraj",Vidur Maheswari
Infurnia,Tech Startup,,"$240,000 ",Bangalore,Infurnia Technologies is an eponymous cloud-based architecture design software platform.,2014,"Pallav Nadhani, Idein Ventures","Lovepreet Mann, Nikhil Kumar, Parul Jain"
Spintly,IoT,Pre series A,"$248,000 ",Goa,It is a wireless cloud-based access control system,2017,Saltwater Venture Sparks,"Rohin Parkar, Malcolm Dsouza"
